# Chi2 Rg SupportVolume
2.01471e+01 1.51076e+01 2.29997e+06
1.99515e+01 1.51168e+01 2.29997e+06
1.97569e+01 1.51259e+01 2.29997e+06
1.95653e+01 1.51350e+01 2.29997e+06
1.93758e+01 1.51440e+01 2.29997e+06
1.91873e+01 1.51530e+01 2.29997e+06
1.90044e+01 1.51616e+01 2.29997e+06
1.88262e+01 1.51701e+01 2.29997e+06
1.86515e+01 1.51784e+01 2.29997e+06
1.84775e+01 1.51866e+01 2.29997e+06
1.83047e+01 1.51949e+01 2.29997e+06
1.81369e+01 1.52028e+01 2.29997e+06
1.79762e+01 1.52103e+01 2.29997e+06
1.78160e+01 1.52177e+01 2.29997e+06
1.76571e+01 1.52251e+01 2.29997e+06
1.75016e+01 1.52323e+01 2.29997e+06
1.73525e+01 1.52390e+01 2.29997e+06
1.72054e+01 1.52457e+01 2.29997e+06
1.70589e+01 1.52523e+01 2.29997e+06
1.69135e+01 1.52589e+01 2.29997e+06
1.67701e+01 1.52654e+01 2.29997e+06
1.66280e+01 1.52719e+01 2.29997e+06
1.64888e+01 1.52783e+01 2.29997e+06
1.63506e+01 1.52846e+01 2.29997e+06
1.62142e+01 1.52909e+01 2.29997e+06
1.60815e+01 1.52969e+01 2.29997e+06
1.59511e+01 1.53029e+01 2.29997e+06
1.58231e+01 1.53091e+01 2.29997e+06
1.56966e+01 1.53155e+01 2.29997e+06
1.55704e+01 1.53218e+01 2.29997e+06
1.54450e+01 1.53281e+01 2.29997e+06
1.53199e+01 1.53344e+01 2.29997e+06
1.51955e+01 1.53408e+01 2.29997e+06
1.50768e+01 1.53466e+01 2.29997e+06
1.49587e+01 1.53524e+01 2.29997e+06
1.48415e+01 1.53582e+01 2.29997e+06
1.47288e+01 1.53641e+01 2.29997e+06
1.46173e+01 1.53701e+01 2.29997e+06
1.45076e+01 1.53760e+01 2.29997e+06
1.43992e+01 1.53819e+01 2.29997e+06
1.42924e+01 1.53877e+01 2.29997e+06
1.41862e+01 1.53935e+01 2.29997e+06
1.40804e+01 1.53993e+01 2.29997e+06
1.39750e+01 1.54051e+01 2.29997e+06
1.38702e+01 1.54109e+01 2.29997e+06
1.37671e+01 1.54167e+01 2.29997e+06
1.36647e+01 1.54227e+01 2.29997e+06
1.35627e+01 1.54286e+01 2.29997e+06
1.34612e+01 1.54345e+01 2.29997e+06
1.33604e+01 1.54404e+01 2.29997e+06
1.32601e+01 1.54462e+01 2.29997e+06
1.31615e+01 1.54521e+01 2.29997e+06
1.30637e+01 1.54579e+01 2.29997e+06
1.29679e+01 1.54636e+01 2.29997e+06
1.28728e+01 1.54693e+01 2.29997e+06
1.27783e+01 1.54749e+01 2.29997e+06
1.26840e+01 1.54806e+01 2.29997e+06
1.25904e+01 1.54863e+01 2.29997e+06
1.24977e+01 1.54919e+01 2.29997e+06
1.24060e+01 1.54974e+01 2.29997e+06
