# Chi2 Rg SupportVolume
4.70603e+03 5.09120e+01 2.29997e+06
4.10773e+03 5.01271e+01 2.29997e+06
4.03142e+03 5.00162e+01 2.29997e+06
3.95866e+03 4.94562e+01 2.29997e+06
3.88318e+03 4.90676e+01 2.29997e+06
3.80706e+03 4.85469e+01 2.29997e+06
3.73063e+03 4.82795e+01 2.29997e+06
3.65601e+03 4.77936e+01 2.29997e+06
3.58324e+03 4.72681e+01 2.29997e+06
3.51310e+03 4.68351e+01 2.29997e+06
3.44429e+03 4.65544e+01 2.29997e+06
3.37711e+03 4.63589e+01 2.29997e+06
3.31274e+03 4.62456e+01 2.29997e+06
3.25018e+03 4.60793e+01 2.29997e+06
3.19151e+03 4.59819e+01 2.29997e+06
3.13624e+03 4.59448e+01 2.29997e+06
3.08265e+03 4.59051e+01 2.29997e+06
3.03194e+03 4.57892e+01 2.29997e+06
2.98292e+03 4.56727e+01 2.29997e+06
2.93522e+03 4.56026e+01 2.29997e+06
2.88824e+03 4.55545e+01 2.29997e+06
2.84172e+03 4.54933e+01 2.29997e+06
2.79542e+03 4.54536e+01 2.29997e+06
2.74930e+03 4.54304e+01 2.29997e+06
2.70404e+03 4.54126e+01 2.29997e+06
2.65977e+03 4.53740e+01 2.29997e+06
2.61589e+03 4.53243e+01 2.29997e+06
2.57293e+03 4.52979e+01 2.29997e+06
2.53180e+03 4.53003e+01 2.29997e+06
2.49254e+03 4.53219e+01 2.29997e+06
2.45482e+03 4.53447e+01 2.29997e+06
2.41822e+03 4.53902e+01 2.29997e+06
2.38321e+03 4.54224e+01 2.29997e+06
2.34950e+03 4.54293e+01 2.29997e+06
2.31652e+03 4.54160e+01 2.29997e+06
2.28419e+03 4.54039e+01 2.29997e+06
2.25203e+03 4.53935e+01 2.29997e+06
2.22072e+03 4.53901e+01 2.29997e+06
2.19117e+03 4.53816e+01 2.29997e+06
2.16377e+03 4.53629e+01 2.29997e+06
2.13646e+03 4.53479e+01 2.29997e+06
2.10925e+03 4.53358e+01 2.29997e+06
2.08249e+03 4.53320e+01 2.29997e+06
2.05653e+03 4.53274e+01 2.29997e+06
2.03149e+03 4.53246e+01 2.29997e+06
2.00682e+03 4.53272e+01 2.29997e+06
1.98264e+03 4.53295e+01 2.29997e+06
1.95915e+03 4.53262e+01 2.29997e+06
