# Chi2 Rg SupportVolume
4.70694e+03 4.05942e+01 2.29997e+06
4.09580e+03 2.36747e+01 2.29997e+06
4.02249e+03 1.69749e+01 2.29997e+06
3.95685e+03 1.51820e+01 2.29997e+06
3.89283e+03 1.46745e+01 2.29997e+06
3.83240e+03 1.29487e+01 2.29997e+06
3.77688e+03 1.24433e+01 2.29997e+06
3.72429e+03 1.31455e+01 2.29997e+06
3.67427e+03 1.34469e+01 2.29997e+06
3.62526e+03 1.38629e+01 2.29997e+06
3.57789e+03 1.38661e+01 2.29997e+06
3.53236e+03 1.36331e+01 2.29997e+06
3.48762e+03 1.33177e+01 2.29997e+06
3.44365e+03 1.28931e+01 2.29997e+06
3.40177e+03 1.23943e+01 2.29997e+06
3.36100e+03 1.18682e+01 2.29997e+06
3.32243e+03 1.13106e+01 2.29997e+06
3.28531e+03 1.07494e+01 2.29997e+06
3.25039e+03 9.93856e+00 2.29997e+06
3.21718e+03 9.08566e+00 2.29997e+06
3.18548e+03 8.06746e+00 2.29997e+06
3.15376e+03 6.64040e+00 2.29997e+06
3.12273e+03 4.34275e+00 2.29997e+06
3.09276e+03 -1.87438e+00 2.29997e+06
3.06366e+03 -4.90592e+00 2.29997e+06
3.03604e+03 -6.34803e+00 2.29997e+06
3.00903e+03 -7.31014e+00 2.29997e+06
2.98224e+03 -8.13939e+00 2.29997e+06
2.95604e+03 -8.72075e+00 2.29997e+06
2.93036e+03 -9.26713e+00 2.29997e+06
2.90476e+03 -9.73359e+00 2.29997e+06
2.87913e+03 -1.01150e+01 2.29997e+06
2.85333e+03 -1.04183e+01 2.29997e+06
2.82739e+03 -1.06329e+01 2.29997e+06
2.80183e+03 -1.08187e+01 2.29997e+06
2.77644e+03 -1.10263e+01 2.29997e+06
2.75196e+03 -1.12626e+01 2.29997e+06
2.72843e+03 -1.14624e+01 2.29997e+06
2.70489e+03 -1.15944e+01 2.29997e+06
2.68157e+03 -1.16323e+01 2.29997e+06
2.65864e+03 -1.16156e+01 2.29997e+06
2.63594e+03 -1.15334e+01 2.29997e+06
2.61362e+03 -1.13726e+01 2.29997e+06
2.59157e+03 -1.11787e+01 2.29997e+06
2.56986e+03 -1.09269e+01 2.29997e+06
2.54794e+03 -1.06664e+01 2.29997e+06
2.52592e+03 -1.04172e+01 2.29997e+06
2.50387e+03 -1.01519e+01 2.29997e+06
2.48168e+03 -9.85809e+00 2.29997e+06
2.45986e+03 -9.56174e+00 2.29997e+06
2.43819e+03 -9.21803e+00 2.29997e+06
2.41660e+03 -8.82749e+00 2.29997e+06
2.39521e+03 -8.46933e+00 2.29997e+06
2.37404e+03 -8.08128e+00 2.29997e+06
2.35267e+03 -7.63901e+00 2.29997e+06
2.33129e+03 -7.17596e+00 2.29997e+06
2.30969e+03 -6.65660e+00 2.29997e+06
2.28813e+03 -6.04645e+00 2.29997e+06
2.26690e+03 -5.33847e+00 2.29997e+06
2.24568e+03 -4.52060e+00 2.29997e+06
2.22502e+03 -3.62195e+00 2.29997e+06
2.20456e+03 -2.37209e+00 2.29997e+06
2.18420e+03 1.39917e+00 2.29997e+06
2.16414e+03 3.12448e+00 2.29997e+06
2.14428e+03 4.19774e+00 2.29997e+06
2.12454e+03 5.14401e+00 2.29997e+06
2.10498e+03 5.92928e+00 2.29997e+06
2.08566e+03 6.61980e+00 2.29997e+06
2.06613e+03 7.24710e+00 2.29997e+06
2.04684e+03 7.79898e+00 2.29997e+06
2.02781e+03 8.30398e+00 2.29997e+06
2.00867e+03 8.78546e+00 2.29997e+06
1.98942e+03 9.25278e+00 2.29997e+06
1.96987e+03 9.70672e+00 2.29997e+06
1.95026e+03 1.01391e+01 2.29997e+06
1.93086e+03 1.05456e+01 2.29997e+06
1.91147e+03 1.09305e+01 2.29997e+06
1.89205e+03 1.13048e+01 2.29997e+06
1.87258e+03 1.16745e+01 2.29997e+06
1.85306e+03 1.20402e+01 2.29997e+06
1.83389e+03 1.24092e+01 2.29997e+06
1.81504e+03 1.27792e+01 2.29997e+06
1.79674e+03 1.31043e+01 2.29997e+06
1.77856e+03 1.34146e+01 2.29997e+06
1.76026e+03 1.37163e+01 2.29997e+06
1.74202e+03 1.39949e+01 2.29997e+06
1.72399e+03 1.42758e+01 2.29997e+06
1.70597e+03 1.45524e+01 2.29997e+06
1.68816e+03 1.48326e+01 2.29997e+06
1.67023e+03 1.51088e+01 2.29997e+06
1.65249e+03 1.53669e+01 2.29997e+06
1.63508e+03 1.56050e+01 2.29997e+06
1.61829e+03 1.58173e+01 2.29997e+06
1.60181e+03 1.60225e+01 2.29997e+06
1.58548e+03 1.62223e+01 2.29997e+06
1.56966e+03 1.64217e+01 2.29997e+06
1.55424e+03 1.66090e+01 2.29997e+06
1.53897e+03 1.67949e+01 2.29997e+06
1.52389e+03 1.69758e+01 2.29997e+06
1.50877e+03 1.71538e+01 2.29997e+06
1.49358e+03 1.73294e+01 2.29997e+06
1.47846e+03 1.75015e+01 2.29997e+06
1.46339e+03 1.76735e+01 2.29997e+06
1.44861e+03 1.78430e+01 2.29997e+06
1.43384e+03 1.80135e+01 2.29997e+06
1.41917e+03 1.81844e+01 2.29997e+06
1.40452e+03 1.83545e+01 2.29997e+06
1.38994e+03 1.85202e+01 2.29997e+06
1.37546e+03 1.86795e+01 2.29997e+06
1.36112e+03 1.88284e+01 2.29997e+06
1.34681e+03 1.89767e+01 2.29997e+06
1.33248e+03 1.91245e+01 2.29997e+06
1.31810e+03 1.92713e+01 2.29997e+06
1.30372e+03 1.94189e+01 2.29997e+06
1.28954e+03 1.95592e+01 2.29997e+06
1.27551e+03 1.96920e+01 2.29997e+06
1.26155e+03 1.98236e+01 2.29997e+06
1.24776e+03 1.99530e+01 2.29997e+06
1.23415e+03 2.00760e+01 2.29997e+06
1.22068e+03 2.01965e+01 2.29997e+06
1.20737e+03 2.03113e+01 2.29997e+06
1.19408e+03 2.04246e+01 2.29997e+06
1.18102e+03 2.05320e+01 2.29997e+06
1.16799e+03 2.06374e+01 2.29997e+06
1.15499e+03 2.07411e+01 2.29997e+06
1.14201e+03 2.08430e+01 2.29997e+06
1.12911e+03 2.09478e+01 2.29997e+06
1.11631e+03 2.10563e+01 2.29997e+06
1.10371e+03 2.11636e+01 2.29997e+06
1.09120e+03 2.12700e+01 2.29997e+06
1.07880e+03 2.13755e+01 2.29997e+06
1.06652e+03 2.14803e+01 2.29997e+06
1.05448e+03 2.15829e+01 2.29997e+06
1.04252e+03 2.16837e+01 2.29997e+06
1.03059e+03 2.17838e+01 2.29997e+06
1.01869e+03 2.18845e+01 2.29997e+06
1.00700e+03 2.19886e+01 2.29997e+06
9.95511e+02 2.20884e+01 2.29997e+06
9.84190e+02 2.21829e+01 2.29997e+06
9.73003e+02 2.22739e+01 2.29997e+06
9.61948e+02 2.23668e+01 2.29997e+06
9.50946e+02 2.24593e+01 2.29997e+06
9.40110e+02 2.25470e+01 2.29997e+06
9.29521e+02 2.26282e+01 2.29997e+06
9.19006e+02 2.27122e+01 2.29997e+06
9.08593e+02 2.27965e+01 2.29997e+06
8.98421e+02 2.28748e+01 2.29997e+06
8.88704e+02 2.29468e+01 2.29997e+06
8.79190e+02 2.30143e+01 2.29997e+06
8.69966e+02 2.30736e+01 2.29997e+06
8.60915e+02 2.31282e+01 2.29997e+06
8.52120e+02 2.31793e+01 2.29997e+06
8.43461e+02 2.32304e+01 2.29997e+06
8.34837e+02 2.32813e+01 2.29997e+06
8.26284e+02 2.33347e+01 2.29997e+06
8.17796e+02 2.33894e+01 2.29997e+06
8.09462e+02 2.34440e+01 2.29997e+06
8.01247e+02 2.34990e+01 2.29997e+06
7.93222e+02 2.35517e+01 2.29997e+06
7.85524e+02 2.36008e+01 2.29997e+06
7.78055e+02 2.36463e+01 2.29997e+06
7.70654e+02 2.36908e+01 2.29997e+06
7.63279e+02 2.37352e+01 2.29997e+06
7.55929e+02 2.37793e+01 2.29997e+06
7.48604e+02 2.38232e+01 2.29997e+06
7.41316e+02 2.38666e+01 2.29997e+06
7.34151e+02 2.39080e+01 2.29997e+06
7.27125e+02 2.39470e+01 2.29997e+06
7.20156e+02 2.39851e+01 2.29997e+06
7.13214e+02 2.40231e+01 2.29997e+06
7.06431e+02 2.40594e+01 2.29997e+06
6.99805e+02 2.40928e+01 2.29997e+06
6.93369e+02 2.41238e+01 2.29997e+06
6.86970e+02 2.41545e+01 2.29997e+06
6.80600e+02 2.41849e+01 2.29997e+06
6.74298e+02 2.42144e+01 2.29997e+06
6.68061e+02 2.42430e+01 2.29997e+06
6.61880e+02 2.42726e+01 2.29997e+06
6.55850e+02 2.43040e+01 2.29997e+06
6.49877e+02 2.43354e+01 2.29997e+06
6.44005e+02 2.43646e+01 2.29997e+06
6.38189e+02 2.43928e+01 2.29997e+06
6.32396e+02 2.44209e+01 2.29997e+06
6.26728e+02 2.44482e+01 2.29997e+06
6.21139e+02 2.44748e+01 2.29997e+06
6.15572e+02 2.45013e+01 2.29997e+06
6.10029e+02 2.45277e+01 2.29997e+06
6.04509e+02 2.45540e+01 2.29997e+06
5.99016e+02 2.45801e+01 2.29997e+06
5.93669e+02 2.46041e+01 2.29997e+06
5.88441e+02 2.46259e+01 2.29997e+06
5.83253e+02 2.46473e+01 2.29997e+06
5.78127e+02 2.46695e+01 2.29997e+06
5.73061e+02 2.46919e+01 2.29997e+06
5.68064e+02 2.47132e+01 2.29997e+06
5.63093e+02 2.47344e+01 2.29997e+06
5.58146e+02 2.47555e+01 2.29997e+06
5.53219e+02 2.47765e+01 2.29997e+06
5.48385e+02 2.47958e+01 2.29997e+06
5.43589e+02 2.48148e+01 2.29997e+06
5.38821e+02 2.48336e+01 2.29997e+06
5.34079e+02 2.48524e+01 2.29997e+06
5.29419e+02 2.48735e+01 2.29997e+06
5.24823e+02 2.48945e+01 2.29997e+06
5.20338e+02 2.49136e+01 2.29997e+06
5.15887e+02 2.49325e+01 2.29997e+06
5.11464e+02 2.49513e+01 2.29997e+06
5.07066e+02 2.49700e+01 2.29997e+06
5.02692e+02 2.49886e+01 2.29997e+06
4.98341e+02 2.50071e+01 2.29997e+06
4.94012e+02 2.50255e+01 2.29997e+06
4.89706e+02 2.50439e+01 2.29997e+06
4.85443e+02 2.50617e+01 2.29997e+06
4.81433e+02 2.50754e+01 2.29997e+06
4.77448e+02 2.50890e+01 2.29997e+06
4.73484e+02 2.51025e+01 2.29997e+06
4.69541e+02 2.51159e+01 2.29997e+06
4.65638e+02 2.51290e+01 2.29997e+06
4.61763e+02 2.51419e+01 2.29997e+06
4.57908e+02 2.51547e+01 2.29997e+06
4.54071e+02 2.51675e+01 2.29997e+06
4.50417e+02 2.51773e+01 2.29997e+06
4.46824e+02 2.51867e+01 2.29997e+06
4.43321e+02 2.51944e+01 2.29997e+06
4.39889e+02 2.52010e+01 2.29997e+06
4.36469e+02 2.52076e+01 2.29997e+06
4.33068e+02 2.52141e+01 2.29997e+06
4.29690e+02 2.52205e+01 2.29997e+06
4.26334e+02 2.52268e+01 2.29997e+06
