# Chi2 Rg SupportVolume
4.70760e+03 6.49246e+01 2.29997e+06
4.11042e+03 5.96603e+01 2.29997e+06
4.03587e+03 5.68331e+01 2.29997e+06
3.96694e+03 5.34614e+01 2.29997e+06
3.90133e+03 4.97822e+01 2.29997e+06
3.83714e+03 4.63328e+01 2.29997e+06
3.77238e+03 4.27565e+01 2.29997e+06
3.70944e+03 3.88945e+01 2.29997e+06
3.64473e+03 3.50832e+01 2.29997e+06
3.58195e+03 3.10017e+01 2.29997e+06
3.51971e+03 2.67785e+01 2.29997e+06
3.46028e+03 2.23471e+01 2.29997e+06
3.40173e+03 1.76234e+01 2.29997e+06
3.34510e+03 1.21152e+01 2.29997e+06
3.28874e+03 3.04605e+00 2.29997e+06
3.23406e+03 -9.67909e+00 2.29997e+06
3.18157e+03 -1.29812e+01 2.29997e+06
3.12880e+03 -1.50433e+01 2.29997e+06
3.07685e+03 -1.65232e+01 2.29997e+06
3.02613e+03 -1.78217e+01 2.29997e+06
2.97665e+03 -1.89585e+01 2.29997e+06
2.92893e+03 -1.97510e+01 2.29997e+06
2.88216e+03 -2.04190e+01 2.29997e+06
2.83518e+03 -2.09506e+01 2.29997e+06
2.78847e+03 -2.14209e+01 2.29997e+06
2.74128e+03 -2.18333e+01 2.29997e+06
2.69461e+03 -2.21244e+01 2.29997e+06
2.64869e+03 -2.24293e+01 2.29997e+06
2.60380e+03 -2.26905e+01 2.29997e+06
2.55982e+03 -2.28900e+01 2.29997e+06
2.51732e+03 -2.30229e+01 2.29997e+06
2.47612e+03 -2.31779e+01 2.29997e+06
2.43520e+03 -2.33102e+01 2.29997e+06
2.39448e+03 -2.33569e+01 2.29997e+06
2.35410e+03 -2.33954e+01 2.29997e+06
2.31439e+03 -2.34498e+01 2.29997e+06
2.27601e+03 -2.34820e+01 2.29997e+06
2.23935e+03 -2.34480e+01 2.29997e+06
2.20355e+03 -2.34015e+01 2.29997e+06
2.16829e+03 -2.33362e+01 2.29997e+06
2.13304e+03 -2.32630e+01 2.29997e+06
2.09875e+03 -2.31834e+01 2.29997e+06
2.06516e+03 -2.30862e+01 2.29997e+06
2.03242e+03 -2.29749e+01 2.29997e+06
2.00032e+03 -2.28601e+01 2.29997e+06
1.96869e+03 -2.27563e+01 2.29997e+06
1.93784e+03 -2.26589e+01 2.29997e+06
1.90721e+03 -2.25592e+01 2.29997e+06
1.87652e+03 -2.24606e+01 2.29997e+06
1.84633e+03 -2.23693e+01 2.29997e+06
1.81660e+03 -2.22668e+01 2.29997e+06
1.78731e+03 -2.21679e+01 2.29997e+06
1.75911e+03 -2.20581e+01 2.29997e+06
1.73148e+03 -2.19472e+01 2.29997e+06
1.70435e+03 -2.18234e+01 2.29997e+06
1.67778e+03 -2.16744e+01 2.29997e+06
1.65187e+03 -2.15327e+01 2.29997e+06
1.62682e+03 -2.13994e+01 2.29997e+06
1.60191e+03 -2.12637e+01 2.29997e+06
1.57748e+03 -2.11412e+01 2.29997e+06
1.55324e+03 -2.10210e+01 2.29997e+06
1.52942e+03 -2.09084e+01 2.29997e+06
1.50625e+03 -2.08059e+01 2.29997e+06
1.48357e+03 -2.07008e+01 2.29997e+06
1.46153e+03 -2.05955e+01 2.29997e+06
1.44019e+03 -2.04903e+01 2.29997e+06
1.41940e+03 -2.03889e+01 2.29997e+06
1.39874e+03 -2.02826e+01 2.29997e+06
1.37851e+03 -2.01690e+01 2.29997e+06
1.35901e+03 -2.00484e+01 2.29997e+06
1.34009e+03 -1.99263e+01 2.29997e+06
1.32145e+03 -1.98015e+01 2.29997e+06
1.30306e+03 -1.96790e+01 2.29997e+06
1.28515e+03 -1.95572e+01 2.29997e+06
1.26775e+03 -1.94344e+01 2.29997e+06
1.25095e+03 -1.93225e+01 2.29997e+06
1.23462e+03 -1.92043e+01 2.29997e+06
1.21883e+03 -1.90876e+01 2.29997e+06
1.20335e+03 -1.89765e+01 2.29997e+06
1.18807e+03 -1.88631e+01 2.29997e+06
1.17307e+03 -1.87474e+01 2.29997e+06
1.15832e+03 -1.86190e+01 2.29997e+06
1.14391e+03 -1.84835e+01 2.29997e+06
1.12974e+03 -1.83513e+01 2.29997e+06
1.11561e+03 -1.82191e+01 2.29997e+06
1.10166e+03 -1.80830e+01 2.29997e+06
1.08824e+03 -1.79479e+01 2.29997e+06
1.07506e+03 -1.78067e+01 2.29997e+06
1.06208e+03 -1.76633e+01 2.29997e+06
1.04937e+03 -1.75155e+01 2.29997e+06
1.03665e+03 -1.73667e+01 2.29997e+06
1.02405e+03 -1.72199e+01 2.29997e+06
1.01161e+03 -1.70755e+01 2.29997e+06
9.99213e+02 -1.69307e+01 2.29997e+06
9.86925e+02 -1.67866e+01 2.29997e+06
9.74790e+02 -1.66442e+01 2.29997e+06
9.62861e+02 -1.65057e+01 2.29997e+06
9.51083e+02 -1.63696e+01 2.29997e+06
9.39440e+02 -1.62365e+01 2.29997e+06
9.28069e+02 -1.61031e+01 2.29997e+06
9.16868e+02 -1.59703e+01 2.29997e+06
9.05884e+02 -1.58410e+01 2.29997e+06
8.94992e+02 -1.57129e+01 2.29997e+06
