# 1/resolution, FSC
0.00000e+00 1.00000e+00
7.57576e-03 9.99227e-01
1.51515e-02 9.97246e-01
2.27273e-02 9.90125e-01
3.03030e-02 9.43473e-01
3.78788e-02 7.05754e-01
4.54545e-02 3.35328e-01
5.30303e-02 2.00627e-01
6.06061e-02 2.76531e-01
