# Chi2 Rg SupportVolume
4.70711e+03 7.11539e+01 2.29997e+06
4.11385e+03 6.81739e+01 2.29997e+06
4.04228e+03 6.89765e+01 2.29997e+06
3.97607e+03 6.97406e+01 2.29997e+06
3.91503e+03 7.05451e+01 2.29997e+06
3.85982e+03 7.13440e+01 2.29997e+06
3.80675e+03 7.22413e+01 2.29997e+06
3.75534e+03 7.30243e+01 2.29997e+06
3.70418e+03 7.36581e+01 2.29997e+06
3.65418e+03 7.42876e+01 2.29997e+06
3.60554e+03 7.48654e+01 2.29997e+06
3.55820e+03 7.53152e+01 2.29997e+06
3.51099e+03 7.56443e+01 2.29997e+06
3.46405e+03 7.59155e+01 2.29997e+06
3.41746e+03 7.61793e+01 2.29997e+06
3.37149e+03 7.64396e+01 2.29997e+06
3.32731e+03 7.67112e+01 2.29997e+06
3.28323e+03 7.69920e+01 2.29997e+06
3.23866e+03 7.72388e+01 2.29997e+06
3.19393e+03 7.74502e+01 2.29997e+06
3.14927e+03 7.76179e+01 2.29997e+06
3.10546e+03 7.77548e+01 2.29997e+06
3.06282e+03 7.78695e+01 2.29997e+06
3.02198e+03 7.79701e+01 2.29997e+06
2.98238e+03 7.80585e+01 2.29997e+06
2.94285e+03 7.81347e+01 2.29997e+06
2.90375e+03 7.81992e+01 2.29997e+06
2.86485e+03 7.82510e+01 2.29997e+06
2.82630e+03 7.82878e+01 2.29997e+06
2.78938e+03 7.83225e+01 2.29997e+06
2.75326e+03 7.83668e+01 2.29997e+06
2.71825e+03 7.84119e+01 2.29997e+06
2.68354e+03 7.84456e+01 2.29997e+06
2.65075e+03 7.84693e+01 2.29997e+06
2.61943e+03 7.84823e+01 2.29997e+06
2.58866e+03 7.84940e+01 2.29997e+06
2.55737e+03 7.84993e+01 2.29997e+06
2.52608e+03 7.84925e+01 2.29997e+06
2.49489e+03 7.84787e+01 2.29997e+06
2.46406e+03 7.84542e+01 2.29997e+06
2.43337e+03 7.84200e+01 2.29997e+06
2.40293e+03 7.83800e+01 2.29997e+06
2.37368e+03 7.83312e+01 2.29997e+06
2.34492e+03 7.82746e+01 2.29997e+06
2.31625e+03 7.82142e+01 2.29997e+06
2.28812e+03 7.81516e+01 2.29997e+06
2.25973e+03 7.80854e+01 2.29997e+06
2.23107e+03 7.80150e+01 2.29997e+06
2.20268e+03 7.79434e+01 2.29997e+06
2.17481e+03 7.78724e+01 2.29997e+06
2.14709e+03 7.77987e+01 2.29997e+06
2.11984e+03 7.77178e+01 2.29997e+06
2.09260e+03 7.76298e+01 2.29997e+06
2.06568e+03 7.75409e+01 2.29997e+06
2.03878e+03 7.74489e+01 2.29997e+06
2.01189e+03 7.73550e+01 2.29997e+06
1.98548e+03 7.72612e+01 2.29997e+06
1.96027e+03 7.71675e+01 2.29997e+06
1.93550e+03 7.70712e+01 2.29997e+06
1.91122e+03 7.69744e+01 2.29997e+06
1.88765e+03 7.68740e+01 2.29997e+06
1.86461e+03 7.67752e+01 2.29997e+06
1.84175e+03 7.66782e+01 2.29997e+06
1.81904e+03 7.65851e+01 2.29997e+06
1.79647e+03 7.64892e+01 2.29997e+06
1.77418e+03 7.63961e+01 2.29997e+06
1.75225e+03 7.63034e+01 2.29997e+06
1.73054e+03 7.62103e+01 2.29997e+06
1.70909e+03 7.61180e+01 2.29997e+06
1.68778e+03 7.60267e+01 2.29997e+06
1.66678e+03 7.59338e+01 2.29997e+06
1.64616e+03 7.58418e+01 2.29997e+06
1.62570e+03 7.57516e+01 2.29997e+06
1.60538e+03 7.56612e+01 2.29997e+06
1.58519e+03 7.55708e+01 2.29997e+06
1.56534e+03 7.54812e+01 2.29997e+06
1.54641e+03 7.53932e+01 2.29997e+06
1.52808e+03 7.53072e+01 2.29997e+06
1.50998e+03 7.52217e+01 2.29997e+06
1.49210e+03 7.51363e+01 2.29997e+06
1.47421e+03 7.50505e+01 2.29997e+06
1.45626e+03 7.49637e+01 2.29997e+06
1.43864e+03 7.48765e+01 2.29997e+06
1.42165e+03 7.47915e+01 2.29997e+06
1.40499e+03 7.47090e+01 2.29997e+06
1.38852e+03 7.46276e+01 2.29997e+06
1.37227e+03 7.45483e+01 2.29997e+06
1.35641e+03 7.44723e+01 2.29997e+06
1.34065e+03 7.43967e+01 2.29997e+06
1.32505e+03 7.43206e+01 2.29997e+06
1.31001e+03 7.42450e+01 2.29997e+06
1.29510e+03 7.41707e+01 2.29997e+06
1.28056e+03 7.40982e+01 2.29997e+06
1.26611e+03 7.40249e+01 2.29997e+06
